component_id,component_type,error_name,created,date time
GR003090,ground,signup_no_sticker,1682898945,30/04/2023 23:55:00:550
GR003162,ground,signup_no_sticker,1682899003,30/04/2023 23:56:00:560
GR003090,ground,signup_no_sticker,1682899186,30/04/2023 23:59:00:590
GR003162,ground,signup_no_sticker,1682899242,01/05/2023 00:00:00:00
GR003090,ground,signup_no_sticker,1682899427,01/05/2023 00:03:00:30
GR003162,ground,signup_no_sticker,1682899483,01/05/2023 00:04:00:40
GR003294,ground,periodic_goto_timeout,1682899641,01/05/2023 00:07:00:70
GR003294,ground,auto_reset_agent,1682899641,01/05/2023 00:07:00:70
GR003090,ground,signup_no_sticker,1682899666,01/05/2023 00:07:00:70
GR003162,ground,signup_no_sticker,1682899724,01/05/2023 00:08:00:80
LR00002111,lift,fine_positioning_tote_centering_after_hs_error,1682899840,01/05/2023 00:10:00:100
LR00002111,lift,auto_reset_agent,1682899850,01/05/2023 00:10:00:100
LR00002111,lift,fine_position_not_success_while_loading_not_all_4_sensors_are_on,1682899871,01/05/2023 00:11:00:110
GR003090,ground,signup_no_sticker,1682899908,01/05/2023 00:11:00:110
GR003162,ground,signup_no_sticker,1682899964,01/05/2023 00:12:00:120
